,owner,selfemp,dependents,card
859,no,no,1,positive
473,yes,no,0,positive
573,no,no,0,positive
926,no,no,0,positive
240,yes,no,3,positive
924,yes,no,0,positive
1068,no,no,0,positive
697,yes,no,0,positive
69,no,no,0,positive
567,no,no,0,positive
676,yes,no,0,positive
810,no,no,2,positive
931,no,no,0,negative
179,no,no,1,positive
660,yes,no,3,positive
436,no,no,3,positive
627,no,no,0,positive
1079,yes,no,2,positive
1230,yes,no,4,positive
875,no,no,0,negative
956,yes,no,6,positive
160,no,no,0,positive
191,yes,no,1,positive
701,yes,yes,0,negative
994,yes,no,2,positive
1173,yes,no,0,positive
740,no,no,0,negative
1109,no,no,1,positive
90,no,no,1,negative
761,yes,no,3,positive
642,no,no,0,positive
1107,no,no,0,positive
782,no,no,0,negative
126,no,no,0,positive
506,yes,no,1,negative
1151,yes,no,3,negative
1141,yes,no,1,positive
715,yes,no,3,positive
305,no,no,2,negative
1142,no,yes,0,negative
465,no,no,0,negative
1217,yes,no,2,positive
829,no,no,1,positive
1045,yes,no,1,positive
60,no,no,0,positive
12,yes,no,1,negative
201,no,no,0,positive
1118,yes,yes,0,negative
1214,no,no,3,negative
669,yes,no,2,positive
486,no,no,0,positive
86,yes,no,3,negative
408,yes,no,0,negative
1229,yes,no,1,positive
111,no,no,1,positive
1077,no,no,0,positive
1227,yes,no,4,positive
118,no,no,2,positive
657,yes,yes,1,positive
1017,yes,no,3,positive
641,yes,no,3,positive
837,no,no,2,positive
84,no,no,2,negative
393,no,no,0,positive
1261,no,no,0,positive
588,no,no,1,positive
1182,yes,no,1,positive
520,yes,yes,1,positive
219,no,no,0,positive
132,no,no,1,positive
558,no,yes,0,positive
135,no,no,3,negative
542,no,no,0,negative
248,no,no,0,positive
793,yes,no,0,positive
951,yes,no,1,positive
1200,yes,no,2,positive
262,no,no,0,negative
1138,yes,no,0,positive
1305,yes,no,3,positive
142,no,no,0,positive
934,no,no,0,positive
216,yes,no,1,positive
8,yes,no,0,positive
495,no,no,0,negative
541,yes,no,0,positive
863,no,no,1,positive
854,no,no,1,negative
801,yes,no,1,positive
277,no,no,0,positive
1301,no,no,1,negative
1204,no,no,0,positive
234,yes,no,1,positive
146,no,no,1,positive
795,no,yes,1,positive
1209,no,no,0,positive
993,no,no,0,positive
780,yes,no,0,positive
397,no,no,0,positive
205,no,no,0,positive
1027,yes,no,1,positive
373,no,no,1,positive
154,no,no,1,positive
606,yes,no,1,negative
864,no,no,0,negative
989,yes,yes,3,positive
1083,no,no,0,positive
19,no,no,0,negative
247,no,yes,0,negative
1039,yes,yes,0,positive
143,no,no,0,negative
432,yes,no,0,positive
181,no,no,0,negative
691,yes,no,1,positive
1028,no,no,2,negative
1086,no,no,0,positive
696,yes,no,1,positive
853,no,no,1,positive
241,yes,no,1,positive
1130,yes,no,3,positive
426,yes,no,2,positive
738,no,no,0,positive
1095,yes,no,2,negative
578,no,no,0,positive
1248,yes,yes,0,positive
911,no,no,0,positive
528,yes,no,0,positive
681,no,no,0,negative
56,no,no,3,positive
497,no,no,0,negative
39,yes,no,4,positive
705,no,no,0,positive
113,yes,no,2,positive
161,no,no,2,positive
856,no,no,3,negative
1304,yes,no,0,positive
231,no,no,1,positive
100,yes,no,0,positive
545,no,no,2,positive
124,yes,no,0,positive
391,no,no,0,positive
30,no,no,0,positive
789,yes,no,3,positive
975,yes,no,3,positive
807,yes,no,0,positive
1278,no,no,3,positive
708,no,no,0,positive
937,no,no,0,positive
131,yes,yes,0,negative
812,no,no,0,positive
1085,yes,no,2,positive
945,yes,no,0,positive
997,yes,no,1,positive
207,no,no,2,negative
95,no,no,0,positive
487,no,no,0,positive
954,yes,no,4,positive
220,no,no,0,positive
185,no,no,2,positive
475,no,no,0,positive
593,no,no,1,positive
493,yes,yes,0,positive
554,yes,no,3,positive
145,yes,yes,3,positive
162,no,no,0,positive
360,yes,yes,0,positive
450,no,no,1,positive
741,no,no,1,negative
110,yes,no,0,positive
55,no,no,0,positive
270,yes,no,0,positive
1300,yes,no,1,negative
1166,no,no,0,positive
1047,no,no,6,positive
712,no,no,0,negative
710,yes,no,1,negative
261,yes,no,4,positive
1046,no,no,0,positive
668,no,no,2,negative
336,no,no,0,negative
164,yes,no,0,negative
422,no,no,2,negative
871,no,no,0,positive
117,no,no,0,positive
913,no,no,3,positive
1181,yes,no,0,positive
1232,yes,no,3,positive
959,yes,no,0,positive
1022,no,no,3,positive
737,no,no,1,positive
485,no,no,2,negative
944,no,no,0,negative
873,no,no,0,positive
1069,yes,no,4,positive
195,no,no,0,negative
294,no,no,1,positive
974,yes,no,4,positive
168,yes,no,0,positive
353,no,no,0,negative
1126,no,no,3,negative
347,no,no,0,negative
362,no,no,2,positive
1075,yes,no,2,positive
1061,yes,no,0,positive
203,no,no,2,positive
369,no,no,0,negative
772,yes,no,0,positive
670,yes,no,2,positive
888,no,no,0,positive
526,no,no,0,positive
1284,yes,no,1,positive
1002,yes,no,1,positive
702,yes,no,3,positive
1066,yes,yes,0,positive
489,yes,no,3,positive
1135,yes,no,3,negative
377,no,yes,1,negative
121,no,no,0,positive
437,no,no,4,positive
460,no,no,0,positive
237,no,no,0,positive
868,no,no,0,positive
1117,yes,no,0,positive
282,no,no,2,positive
1269,no,no,0,positive
1183,yes,yes,1,negative
1147,yes,no,4,positive
525,yes,no,2,positive
374,yes,no,1,positive
620,yes,yes,1,positive
346,no,no,0,positive
562,no,no,1,positive
731,yes,no,3,positive
559,yes,no,0,positive
747,no,no,1,positive
848,yes,no,0,positive
1210,yes,no,3,positive
707,no,no,0,positive
7,yes,no,0,positive
199,no,yes,0,positive
1089,no,no,0,positive
389,no,no,0,positive
1198,no,no,0,positive
1220,yes,no,1,positive
1280,no,no,0,positive
938,no,no,0,positive
898,no,no,1,positive
1318,yes,no,2,positive
70,yes,no,2,positive
1170,no,no,0,positive
390,no,no,1,positive
986,no,no,0,negative
844,no,no,1,positive
116,yes,no,3,positive
839,no,no,0,positive
1062,no,no,1,positive
28,yes,no,1,negative
378,yes,no,2,positive
102,no,no,0,negative
536,yes,no,1,positive
58,no,no,2,negative
675,yes,no,1,positive
289,no,no,0,positive
123,yes,no,0,positive
233,yes,no,2,positive
134,no,no,0,positive
500,yes,no,1,positive
483,no,no,0,positive
1003,no,no,0,positive
327,no,no,1,negative
1011,yes,no,2,positive
451,yes,no,0,positive
26,no,yes,1,negative
281,yes,no,4,positive
579,no,no,0,positive
1201,no,no,0,positive
399,no,no,0,positive
91,yes,no,5,negative
1102,no,no,0,negative
694,yes,no,0,positive
287,no,no,0,positive
1279,yes,no,2,positive
190,no,no,0,positive
1237,yes,no,2,negative
773,yes,yes,2,positive
840,no,yes,2,negative
662,yes,no,2,negative
516,yes,no,0,positive
565,yes,no,0,positive
647,no,no,1,negative
755,no,no,0,positive
586,no,no,0,positive
300,no,no,0,positive
819,yes,no,4,positive
1275,yes,no,3,positive
805,yes,no,0,positive
1076,no,no,0,positive
1288,no,no,1,positive
682,yes,no,2,negative
1111,yes,no,2,positive
979,yes,no,0,positive
527,yes,no,2,negative
1167,no,no,0,positive
667,yes,no,3,positive
92,no,no,0,positive
581,no,no,0,positive
1289,no,no,1,positive
1306,no,no,0,positive
530,yes,no,1,positive
902,no,no,0,positive
1223,no,no,1,positive
645,no,no,0,positive
1006,yes,no,5,positive
324,yes,no,2,negative
298,yes,no,0,positive
1272,no,no,2,positive
363,yes,no,1,positive
387,no,no,0,positive
728,yes,no,1,positive
619,no,no,1,positive
1007,yes,no,1,positive
1106,no,no,1,positive
584,no,no,0,positive
1155,no,no,0,positive
87,yes,no,2,negative
532,no,no,0,positive
427,yes,no,2,positive
1252,yes,no,2,negative
173,yes,no,0,positive
832,no,no,0,positive
1264,no,no,0,positive
928,no,no,0,positive
955,yes,no,2,positive
693,yes,no,0,positive
384,no,no,0,positive
890,no,no,0,positive
622,no,yes,2,positive
746,no,no,0,positive
1051,yes,no,2,positive
1213,yes,no,3,positive
455,yes,no,1,positive
539,no,no,0,negative
1099,yes,no,2,positive
636,yes,no,3,positive
490,yes,no,1,positive
474,no,no,1,negative
517,no,no,0,positive
341,yes,no,1,positive
973,yes,no,0,negative
288,no,no,0,negative
40,yes,no,0,positive
1291,no,no,0,positive
513,yes,no,3,positive
71,no,no,0,positive
18,yes,yes,0,positive
663,yes,no,1,positive
1034,yes,yes,4,negative
442,yes,no,0,negative
699,yes,no,1,positive
803,yes,no,0,negative
221,no,no,0,positive
531,no,no,0,positive
1123,no,no,0,negative
745,no,no,1,positive
272,no,no,0,positive
250,no,yes,0,positive
768,yes,no,1,positive
1219,yes,no,3,positive
1152,yes,no,0,positive
809,no,no,0,positive
1307,yes,no,2,positive
823,no,no,0,positive
169,no,no,0,positive
901,no,no,0,negative
1148,no,no,0,positive
1059,yes,no,1,positive
1156,yes,no,0,positive
1030,yes,no,1,positive
385,no,no,1,positive
43,no,no,0,positive
592,no,no,1,positive
11,yes,no,2,negative
580,no,no,0,negative
1208,no,no,0,positive
1236,no,no,4,negative
1202,no,no,0,negative
537,no,no,4,negative
683,yes,no,1,positive
1025,no,no,2,positive
66,no,yes,2,positive
686,yes,no,0,positive
862,no,no,0,positive
852,no,no,0,positive
20,yes,no,2,positive
876,yes,no,0,positive
677,yes,no,0,positive
623,no,no,0,positive
760,no,no,0,positive
907,no,no,1,negative
505,yes,no,0,positive
1257,no,no,0,positive
998,yes,no,1,positive
31,no,no,0,positive
330,yes,no,0,positive
557,no,no,0,positive
295,yes,no,3,positive
511,yes,no,1,positive
383,yes,no,3,positive
1194,no,no,0,positive
1296,no,no,0,positive
1187,no,no,2,positive
263,no,no,0,positive
6,no,no,2,positive
349,yes,no,1,positive
1103,no,no,0,negative
1019,yes,no,1,positive
860,no,no,0,positive
213,no,no,2,negative
328,yes,no,2,negative
1090,yes,no,2,positive
967,yes,no,2,positive
479,no,no,1,negative
1207,no,no,0,positive
735,yes,no,1,negative
322,yes,no,1,positive
444,no,no,0,negative
881,no,no,1,positive
617,no,no,0,negative
381,no,no,1,negative
1132,no,no,3,positive
496,yes,no,2,positive
469,no,no,0,negative
1315,no,no,3,negative
719,no,no,0,positive
366,no,no,0,positive
492,no,no,0,negative
159,yes,no,1,positive
512,no,no,0,positive
138,no,no,0,positive
1121,no,no,3,positive
133,no,no,2,negative
470,no,no,2,positive
1124,no,no,0,positive
818,no,no,0,negative
711,yes,no,0,positive
1161,yes,no,3,positive
170,no,no,1,negative
120,no,no,2,negative
611,yes,no,0,positive
42,no,no,1,positive
1216,yes,no,5,positive
0,yes,no,3,positive
915,no,no,1,negative
946,yes,yes,0,positive
940,yes,no,3,positive
1157,no,yes,2,negative
1163,no,no,0,positive
476,yes,no,0,positive
927,no,no,1,positive
252,no,no,0,positive
1052,no,no,0,positive
309,yes,no,1,positive
1100,no,no,2,negative
990,yes,no,0,positive
895,no,no,0,negative
635,no,no,0,positive
259,yes,no,2,negative
464,no,no,1,positive
503,yes,no,1,positive
115,no,no,0,positive
508,yes,no,5,positive
1164,no,no,0,positive
816,no,no,1,positive
130,no,no,3,negative
904,no,no,0,positive
361,yes,no,2,negative
587,no,no,0,positive
510,yes,no,4,positive
948,yes,no,1,negative
243,no,no,0,positive
521,yes,no,2,positive
889,no,no,3,negative
223,no,no,0,negative
1302,no,no,2,positive
488,yes,no,2,positive
68,no,no,0,negative
1110,no,no,1,positive
1265,no,no,0,negative
222,yes,no,2,positive
441,no,no,0,positive
316,no,no,0,positive
618,no,no,0,negative
629,no,no,0,positive
1091,yes,no,0,positive
572,yes,no,1,positive
112,no,no,0,positive
1286,yes,no,3,positive
698,yes,no,2,positive
972,yes,no,1,positive
763,yes,no,4,positive
752,no,no,2,negative
333,no,no,0,negative
1222,yes,no,3,positive
1178,yes,no,0,positive
409,no,no,0,negative
65,no,yes,0,negative
1169,yes,no,3,positive
664,no,no,0,positive
912,no,no,6,negative
1317,no,yes,0,positive
1120,yes,no,1,positive
1231,no,no,0,positive
211,yes,no,2,positive
604,no,no,1,positive
67,no,no,0,positive
673,yes,no,0,positive
571,yes,no,4,positive
293,yes,no,0,positive
151,yes,no,1,positive
880,yes,no,2,negative
337,no,yes,2,negative
717,no,no,3,positive
1012,yes,no,3,positive
359,yes,no,2,positive
107,no,no,0,positive
1225,yes,no,2,negative
1021,yes,no,2,positive
445,no,no,0,positive
478,no,yes,0,negative
83,no,no,0,positive
963,yes,no,4,positive
995,no,no,0,positive
323,yes,no,3,positive
734,no,yes,2,positive
64,yes,no,2,negative
279,yes,no,0,negative
977,yes,no,5,positive
726,no,no,0,positive
1104,yes,no,3,positive
1084,no,no,2,negative
656,yes,no,0,negative
394,yes,no,3,positive
76,no,no,0,positive
326,yes,no,0,positive
108,yes,no,3,positive
268,no,no,0,positive
1211,no,no,2,negative
504,no,no,1,positive
909,no,no,0,positive
313,no,no,2,positive
903,no,no,1,positive
624,no,no,0,positive
1309,yes,no,1,positive
206,yes,no,3,positive
350,no,no,0,negative
981,yes,no,0,positive
704,yes,no,0,positive
274,yes,no,2,positive
730,no,no,3,positive
916,no,no,0,positive
732,no,no,0,negative
838,no,no,4,positive
870,no,no,1,positive
311,no,no,0,positive
1088,no,no,0,negative
949,no,yes,0,positive
765,no,no,1,positive
1137,yes,no,2,positive
1071,no,no,1,positive
226,no,no,0,negative
1316,yes,no,2,positive
671,yes,no,1,positive
267,yes,no,3,positive
334,yes,no,0,positive
127,no,no,0,positive
184,no,no,0,negative
1058,no,no,0,positive
62,no,no,1,positive
167,no,no,0,positive
640,yes,no,3,positive
212,no,no,1,negative
342,yes,yes,1,positive
824,no,no,0,positive
583,no,no,0,positive
27,no,no,0,positive
601,no,no,1,negative
582,yes,no,0,positive
331,no,no,0,positive
766,no,no,3,positive
1,no,no,3,positive
921,no,no,0,positive
744,no,no,1,positive
265,yes,no,4,positive
172,no,no,1,negative
1244,no,no,0,negative
749,no,no,0,positive
189,yes,no,3,positive
321,no,no,0,negative
808,no,no,0,positive
1177,yes,no,1,positive
192,no,no,0,positive
312,yes,no,0,positive
792,no,no,0,positive
141,no,no,0,positive
1255,no,no,1,positive
886,no,no,2,positive
1262,no,no,0,positive
59,no,no,0,positive
785,yes,no,0,positive
1139,no,no,2,negative
851,no,yes,6,positive
405,yes,no,3,positive
1004,no,no,0,negative
425,yes,no,2,positive
1224,yes,no,0,positive
371,no,no,0,negative
430,yes,no,1,positive
1092,no,no,1,negative
1144,yes,no,3,positive
519,yes,no,1,positive
595,yes,no,1,positive
80,no,no,2,negative
449,yes,no,2,positive
376,no,no,0,positive
235,yes,no,2,positive
538,yes,no,3,negative
196,yes,no,1,positive
1311,no,yes,0,negative
194,no,no,1,positive
155,yes,no,0,positive
936,no,no,0,positive
1108,yes,no,0,positive
395,yes,no,2,positive
1072,yes,no,2,positive
364,no,no,0,positive
621,no,yes,1,positive
957,no,no,0,positive
813,no,no,0,positive
1299,yes,no,2,positive
99,yes,no,2,positive
9,no,no,0,positive
202,no,yes,0,positive
446,yes,no,1,positive
800,yes,no,3,positive
88,no,no,1,negative
456,yes,no,1,positive
77,no,no,0,positive
1242,no,no,0,positive
484,no,no,0,positive
82,no,no,0,positive
1140,yes,no,2,positive
1271,yes,no,1,positive
290,no,yes,4,negative
34,no,no,0,positive
101,yes,no,3,negative
17,yes,no,2,negative
97,no,no,2,positive
771,yes,no,0,positive
695,yes,no,3,negative
1096,no,no,0,positive
35,yes,no,6,positive
722,no,no,0,positive
258,no,no,0,positive
209,no,no,0,positive
230,no,no,1,positive
646,no,no,0,positive
502,no,no,0,positive
355,yes,no,1,positive
1241,yes,no,3,positive
616,yes,no,1,positive
339,no,no,0,negative
884,no,no,0,positive
533,yes,no,2,positive
613,no,no,2,positive
291,no,no,0,negative
652,yes,no,2,positive
775,no,no,1,negative
1171,no,no,0,positive
1266,yes,no,2,positive
841,no,no,1,negative
1105,no,no,1,negative
846,no,yes,0,positive
365,no,no,0,negative
883,no,no,2,positive
283,no,no,0,negative
739,yes,no,3,negative
439,no,no,1,positive
1054,yes,no,2,positive
23,no,no,2,positive
630,no,no,0,positive
245,no,no,0,positive
1070,no,no,2,positive
461,no,no,0,negative
1314,yes,no,0,positive
672,yes,no,1,positive
468,no,no,0,negative
33,yes,no,1,positive
639,no,no,0,negative
643,no,no,3,positive
753,yes,no,0,positive
1098,yes,no,0,positive
535,no,no,1,positive
1042,yes,no,2,positive
1153,yes,no,0,positive
188,yes,no,2,positive
966,no,no,1,positive
423,no,no,0,positive
830,no,no,0,positive
1218,no,no,1,positive
318,no,no,3,negative
224,no,no,0,negative
991,yes,no,4,positive
1037,yes,no,2,positive
41,no,no,0,positive
1303,yes,no,0,positive
709,no,no,2,negative
370,yes,no,0,positive
716,yes,no,1,positive
1274,no,no,0,positive
783,no,no,0,positive
125,yes,yes,4,positive
1031,no,no,5,positive
407,no,no,0,positive
594,yes,yes,2,positive
799,no,no,0,positive
308,yes,no,4,positive
1087,yes,no,3,positive
414,yes,no,2,positive
978,no,no,2,negative
358,yes,no,3,positive
637,yes,no,0,negative
269,no,no,0,positive
410,yes,no,0,negative
791,yes,no,2,positive
555,no,no,1,positive
920,no,no,0,positive
1065,yes,yes,3,positive
264,yes,no,3,positive
254,yes,no,1,positive
73,no,no,2,positive
633,no,no,0,positive
152,yes,no,2,negative
149,yes,no,3,positive
1020,yes,no,3,positive
275,no,no,0,negative
1049,no,yes,1,positive
706,no,no,0,negative
600,yes,no,1,negative
727,no,no,1,positive
659,yes,no,0,negative
999,yes,no,1,positive
930,yes,no,0,positive
276,no,no,2,positive
140,no,no,2,positive
1014,no,no,1,positive
368,yes,no,2,positive
563,yes,no,1,positive
680,no,no,1,positive
524,no,no,0,positive
748,no,yes,4,positive
941,no,no,0,positive
271,no,no,0,positive
628,no,no,0,positive
246,no,no,2,positive
1191,yes,no,2,negative
153,yes,no,0,negative
137,no,no,0,positive
891,no,no,1,positive
603,no,no,0,positive
644,no,no,0,positive
543,yes,no,1,positive
5,no,no,0,positive
1015,no,no,2,negative
447,no,no,0,positive
471,yes,no,0,positive
37,yes,no,1,positive
827,no,no,0,positive
980,yes,no,3,positive
129,yes,no,3,positive
106,no,no,1,positive
411,yes,no,4,positive
319,no,no,0,negative
278,yes,no,0,positive
1023,yes,no,1,positive
820,no,no,0,positive
388,no,no,0,positive
858,no,no,0,positive
10,yes,no,1,positive
784,no,no,0,positive
1294,no,no,1,positive
908,no,no,0,negative
